,PDE_model,Num_method,Mesh_dim,Bound_cond,Mesh_type,Scheme_order,Mesh_cell_type,Test_color,Comput_time
2,Poisson,FE,2,Dirichlet,Regular_RightTriangles,2.0039,Triangles,Green,103.144
3,Poisson,FE,2,Dirichlet,Unstructured_triangles,2.0156,Triangles,Green,6.093
10,Poisson,FE,2,Neumann,Regular_RightTriangles,0.9103,Triangles,Orange (not order 2),26.25
4,Poisson,FE,2,Neumann,Unstructured_triangles,0.8202,Triangles,Orange (not order 2),3.179
7,Poisson,FE,3,Dirichlet,Regular_Tetrahedra,1.3403,Tetrahedron,Orange (not order 2),208.857
8,Poisson,FE,3,Dirichlet,Unstructured_Tetrahedra,0.6691,Tetrahedron,Orange (not order 2),11.857
1,Poisson,FV,2,Dirichlet,RegularSquares,2.0039,Squares,Green,9.807
5,Poisson,FV,2,Dirichlet,Regular_RightTriangles,0.0212,Triangles,Green,15.593
6,Poisson,FV,2,Dirichlet,Structured_triangles,0.8952,Triangles,"Orange 
 (BC don't fit the domain)",4.73
9,Poisson,FV,2,Dirichlet,Unstructured_triangles,0.6138,Triangles,Green,2.264
13,Poisson,FV,2,Neumann,RegularSquares,2.0039,Squares,Green,9.804
0,Poisson,FV,2,Neumann,Regular_RightTriangles,-0.0056,Triangles,"Orange 
 (suspicious order 0 convergence)",15.944
12,Poisson,FV,3,Dirichlet,Regular_Cubes,1.3403,Cubes,Orange (not order 2),5.738
11,Poisson,FV,3,Dirichlet,Regular_Tetrahedra,0.0065,Tetrahedron,Orange (not order 2),61.84
14,Poisson,FV,3,Dirichlet,Unstructured_Tetrahedra,0.5359,Tetrahedron,Orange (not order 2),3.572
